关键词,页码,序号,书名,score
老年人 书,1,1,更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备书籍 中信出版社 阅读狂欢节,100.0
老年人 书,1,2,吃土：强健肠道、提升免疫系统 肠子的小心思吃出自愈力救命饮食疗减肥慢性疲劳关节甲状腺病身体由我成人儿童孕妇中老年人营养学抗炎保健养生,96.66666666666667
老年人 书,1,3,中老年食疗养生一本全 保健饮食养生菜谱食品大全 养生大系养生大全食谱调理 食疗营养健康百科全书 中老年食疗养生一本全,93.33333333333333
老年人 书,1,4,自营 女性身体的秘密：更年期健康与幸福全书 克里斯蒂安·诺斯鲁普著 著名妇产科专家 更年期的智慧 回归自我 中年 职业觉醒 更年期 女性健康 保,90.0
老年人 书,1,5,中老年人必知的365个养生法（大字插图超值版） 阅读狂欢节,86.66666666666667
老年人 书,1,6,【官方正版】现货 更好更年期 北京协和医院妇产科主任医师陈蓉 24年临床经验总结 中老年女性 养生防病必备书籍 社 女性身体的秘密,83.33333333333334
老年人 书,1,7,中老年营养百科 近500页的饮食营养内容 更年期综合征、高血糖、高血脂、高血压等5大类中老年健康问题指导 200多种日常食物营养价值详解 助力中老,80.0
老年人 书,1,8,营养治病养生大系中老年人食物营养学健康养生保健食谱四季养生日常疾病预防养生知识家庭营养健康保健养生 养生大系营养治病.,76.66666666666666
老年人 书,1,9,来吧更年期 更年期健康生活指南 更好更年期 女性身体的秘密 更年期 雌激素 脑科学 神经科学 中信出版社 阅读狂欢节,73.33333333333334
老年人 书,1,10,老年人怎样才能更长寿（生活养生） 阅读狂欢节,70.0
老年人 书,1,11,301医院营养专家--老年人饮食营养一本通 阅读狂欢节,66.66666666666667
老年人 书,1,12,中国居民膳食指南2022科普版 适用2023 2024专业版人卫中国营养学会妇幼营养分会编孕妇婴幼儿儿童少年老年素食人群医学书籍公共注册营养师考试教材,63.33333333333333
老年人 书,1,13,【赠书签】老人与海 作家榜 中国现当代文学小说世界名著 学生课外阅读新华书店旗舰店正版,60.0
老年人 书,1,14,儿童青少年男性女性老年人居民饮食营养食谱 科学减肥食谱养生之道四季饮食指南 中国民间菜谱 中国居民膳食指南大全 官方正版,56.666666666666664
老年人 书,1,15,包邮 更好更年期 女性身体的秘密 陈蓉24年临床经验总结 中老年女性 更年期健康与幸福全书 中信书店,53.333333333333336
老年人 书,1,16,老人与海 青少版,50.0
老年人 书,1,17,【正版】战胜病毒的生活方式 提高增强中老年女性儿童抵抗力书籍菜谱食谱饮食营养与健康书籍饮食营养食疗健康书籍,46.666666666666664
